EST	EST Length	Query Start Position
Locus_89379_Transcript_1	3623	2244
Locus_82449_Transcript_1	3961	421
Locus_82448_Transcript_1	4162	421
Locus_82446_Transcript_1	3999	407
Locus_97156_Transcript_1	4598	4489
Locus_21618_Transcript_1	1175	29
Locus_124359_Transcript_1	2118	659
Locus_125402_Transcript_3	1999	92
Locus_125403_Transcript_1	1880	92
Locus_129236_Transcript_1	5316	73
Locus_129235_Transcript_1	5557	73
Locus_129234_Transcript_1	5212	73
Locus_52816_Transcript_1	2177	1123
Locus_52819_Transcript_1	1860	759
Locus_52818_Transcript_1	1212	164
Locus_102365_Transcript_1	867	119
Locus_6814_Transcript_1	2124	2061
Locus_115743_Transcript_1	1574	1536
Locus_23268_Transcript_1	3967	8
Locus_43851_Transcript_1	4517	3623
Locus_43854_Transcript_1	4239	3623
Locus_102378_Transcript_1	728	101
Locus_16002_Transcript_1	993	149
Locus_16003_Transcript_1	1032	93
Locus_45630_Transcript_1	636	588
Locus_12208_Transcript_1	1867	116
Locus_12209_Transcript_1	1951	1761
Locus_12209_Transcript_2	1991	1801
Locus_12209_Transcript_3	3420	1665
Locus_12207_Transcript_1	1873	116
Locus_126298_Transcript_1	1772	1342
Locus_126299_Transcript_1	1619	1189
Locus_126297_Transcript_1	1703	1273
Locus_42759_Transcript_1	3220	1129
Locus_35408_Transcript_1	4328	102
Locus_129239_Transcript_1	5270	73
Locus_129238_Transcript_1	5341	73
Locus_4765_Transcript_1	990	101
Locus_4766_Transcript_1	924	116
Locus_93874_Transcript_1	3904	1133
Locus_93875_Transcript_1	3940	1133
Locus_93877_Transcript_1	1107	910
Locus_50849_Transcript_1	3229	68
Locus_62692_Transcript_1	2153	108
Locus_46087_Transcript_1	2730	100
Locus_46089_Transcript_1	2722	100
Locus_46088_Transcript_1	2883	100
Locus_81730_Transcript_1	10,729	1371
Locus_81731_Transcript_1	3516	157
Locus_81732_Transcript_1	3409	157
Locus_81733_Transcript_1	2270	157
Locus_81734_Transcript_1	2352	157
Locus_81735_Transcript_1	2459	157
Locus_32281_Transcript_1	622	107
Locus_127738_Transcript_1	3979	3879
Locus_59500_Transcript_1	5480	1223
Locus_59501_Transcript_1	1549	1425
Locus_33378_Transcript_1	1787	1550
Locus_37884_Transcript_1	3354	3277
Locus_32938_Transcript_1	1837	1746
Locus_32939_Transcript_1	1517	1426
Locus_3452_Transcript_1	3194	598
Locus_3453_Transcript_1	3767	2904
Locus_3451_Transcript_1	5582	598
Locus_3456_Transcript_1	3675	2812
Locus_3454_Transcript_1	3626	2763
Locus_3455_Transcript_1	3534	2671
Locus_89041_Transcript_1	2040	86
Locus_32859_Transcript_1	1883	1568
Locus_127740_Transcript_1	3629	1401
Locus_88319_Transcript_1	809	583
Locus_88318_Transcript_1	767	541
Locus_99651_Transcript_1	11,680	9811
Locus_90398_Transcript_1	4613	126
Locus_90399_Transcript_1	6046	126
Locus_90390_Transcript_1	4956	126
Locus_90391_Transcript_1	4099	126
Locus_90392_Transcript_1	4665	126
Locus_90393_Transcript_1	4788	126
Locus_90394_Transcript_1	5930	126
Locus_90395_Transcript_1	5928	126
Locus_90396_Transcript_1	6051	126
Locus_90397_Transcript_1	4736	126
Locus_126312_Transcript_1	3617	1134
Locus_57451_Transcript_1	2633	1484
Locus_60094_Transcript_1	3236	289
Locus_60092_Transcript_1	7776	396
